Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
   149 nombre_references[6]
                                   7                           7 
   150 nombre_references[7]
                                   7                           7 
   151 nombre_references[8]
                                   7                           7 
   152 nombre_references[9]
                                   7                           7 
   153 nombre_references[10]
                                   7                           7 
   154 decision_production[1,1]
                                 -27                          -0 
   155 decision_production[1,2]
                                  -9                          -0 
   156 decision_production[1,3]
                                   0                          -0 
   157 decision_production[1,4]
                                   0                          -0 
   158 decision_production[1,5]
                                   0                          -0 
   159 decision_production[1,6]
                                 -19                          -0 
   160 decision_production[1,7]
                                 -24                          -0 
   161 decision_production[1,8]
                                   0                          -0 
   162 decision_production[1,9]
                                   0                          -0 
   163 decision_production[1,10]
                                 -22                          -0 
   164 decision_production[2,1]
                                   0                          -0 
   165 decision_production[2,2]
                                   0                          -0 
   166 decision_production[2,3]
                                   0                          -0 
   167 decision_production[2,4]
                                 -21                          -0 
   168 decision_production[2,5]
                                 -21                          -0 
   169 decision_production[2,6]
                                   0                          -0 
   170 decision_production[2,7]
                                   0                          -0 
   171 decision_production[2,8]
                                 -23                          -0 
   172 decision_production[2,9]
                                   0                          -0 
   173 decision_production[2,10]
                                   0                          -0 
   174 decision_production[3,1]
                                   0                          -0 
   175 decision_production[3,2]
                                   0                          -0 
   176 decision_production[3,3]
                                 -18                          -0 
   177 decision_production[3,4]
                                   0                          -0 
   178 decision_production[3,5]
                                 -24                          -0 
   179 decision_production[3,6]
                                 -25                          -0 
   180 decision_production[3,7]
                                 -23                          -0 
   181 decision_production[3,8]
                                   0                          -0 
   182 decision_production[3,9]
                                 -24                          -0 
   183 decision_production[3,10]
                                 -20                          -0 
   184 decision_production[4,1]
                                   0                          -0 
   185 decision_production[4,2]
                                 -26                          -0 
   186 decision_production[4,3]
                                 -17                          -0 
   187 decision_production[4,4]
                                   0                          -0 
   188 decision_production[4,5]
                                   0                          -0 
   189 decision_production[4,6]
                                 -24                          -0 
   190 decision_production[4,7]
                                   0                          -0 
   191 decision_production[4,8]
                                 -24                          -0 
   192 decision_production[4,9]
                                 -22                          -0 
   193 decision_production[4,10]
                                   0                          -0 
   194 decision_production[5,1]
                                   0                          -0 
   195 decision_production[5,2]
                                 -26                          -0 
   196 decision_production[5,3]
                                 -25                          -0 
   197 decision_production[5,4]
                                 -21                          -0 
   198 decision_production[5,5]
                                 -26                          -0 
   199 decision_production[5,6]
                                 -25                          -0 
   200 decision_production[5,7]
                                 -22                          -0 
   201 decision_production[5,8]
                                 -22                          -0 
   202 decision_production[5,9]
                                 -22                          -0 
   203 decision_production[5,10]
                                   0                          -0 
   204 decision_production[6,1]
                                 -13                          -0 
   205 decision_production[6,2]
                                 -25                          -0 
   206 decision_production[6,3]
                                   0                          -0 
   207 decision_production[6,4]
                                   0                          -0 
   208 decision_production[6,5]
                                   0                          -0 
   209 decision_production[6,6]
                                   0                          -0 
   210 decision_production[6,7]
                                   0                          -0 
   211 decision_production[6,8]
                                   0                          -0 
   212 decision_production[6,9]
                                   0                          -0 
   213 decision_production[6,10]
                                   0                          -0 
   214 decision_production[7,1]
                                   0                          -0 
   215 decision_production[7,2]
                                   0                          -0 
   216 decision_production[7,3]
                                   0                          -0 
   217 decision_production[7,4]
                                   0                          -0 
   218 decision_production[7,5]
                                 -19                          -0 
   219 decision_production[7,6]
                                   0                          -0 
   220 decision_production[7,7]
                                   0                          -0 
   221 decision_production[7,8]
                                   0                          -0 
   222 decision_production[7,9]
                                   0                          -0 
   223 decision_production[7,10]
                                 -26                          -0 
   224 decision_production[8,1]
                                   0                          -0 
   225 decision_production[8,2]
                                   0                          -0 
   226 decision_production[8,3]
                                   0                          -0 
   227 decision_production[8,4]
                                   0                          -0 
   228 decision_production[8,5]
                                   0                          -0 
   229 decision_production[8,6]
                                 -24                          -0 
   230 decision_production[8,7]
                                 -26                          -0 
   231 decision_production[8,8]
                                 -26                          -0 
   232 decision_production[8,9]
                                 -23                          -0 
   233 decision_production[8,10]
                                   0                          -0 
   234 decision_production[9,1]
                                 -26                          -0 
   235 decision_production[9,2]
                                 -23                          -0 
   236 decision_production[9,3]
                                 -26                          -0 
   237 decision_production[9,4]
                                 -19                          -0 
   238 decision_production[9,5]
                                 -25                          -0 
   239 decision_production[9,6]
                                   0                          -0 
   240 decision_production[9,7]
                                   0                          -0 
   241 decision_production[9,8]
                                 -26                          -0 
