Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
    42 x[4,6]                      0                             
    43 x[4,7]                      0                             
    44 x[4,8]                      0                             
    45 x[4,9]                      8                             
    46 x[4,10]                     0                             
    47 x[4,11]                     4                             
    48 x[4,12]                     3                             
    49 x[5,1]                      0                             
    50 x[5,2]                      6                             
    51 x[5,3]                      3                             
    52 x[5,4]                      0                             
    53 x[5,5]                      1                             
    54 x[5,6]                      0                             
    55 x[5,7]                      8                             
    56 x[5,8]                      0                             
    57 x[5,9]                      2                             
    58 x[5,10]                     4                             
    59 x[5,11]                     0                             
    60 x[5,12]                     3                             
    61 x[6,1]                      8                             
    62 x[6,2]                      0                             
    63 x[6,3]                      2                             
    64 x[6,4]                      3                             
    65 x[6,5]                      2                             
    66 x[6,6]                      0                             
    67 x[6,7]                      0                             
    68 x[6,8]                      3                             
    69 x[6,9]                      0                             
    70 x[6,10]                     0                             
    71 x[6,11]                     6                             
    72 x[6,12]                     3                             
    73 x[7,1]                      3                             
    74 x[7,2]                      0                             
    75 x[7,3]                      4                             
    76 x[7,4]                      0                             
    77 x[7,5]                      5                             
    78 x[7,6]                      0                             
    79 x[7,7]                      0                             
    80 x[7,8]                      1                             
    81 x[7,9]                      0                             
    82 x[7,10]                     6                             
    83 x[7,11]                     6                             
    84 x[7,12]                     2                             
    85 x[8,1]                      0                             
    86 x[8,2]                      4                             
    87 x[8,3]                      0                             
    88 x[8,4]                      3                             
    89 x[8,5]                      5                             
    90 x[8,6]                      0                             
    91 x[8,7]                      0                             
    92 x[8,8]                      1                             
    93 x[8,9]                      1                             
    94 x[8,10]                     0                             
    95 x[8,11]                     8                             
    96 x[8,12]                     5                             
    97 x[9,1]                      0                             
    98 x[9,2]                      0                             
    99 x[9,3]                      3                             
   100 x[9,4]                      5                             
   101 x[9,5]                      5                             
   102 x[9,6]                      0                             
   103 x[9,7]                      0                             
   104 x[9,8]                      4                             
   105 x[9,9]                      1                             
   106 x[9,10]                     2                             
   107 x[9,11]                     0                             
   108 x[9,12]                     7                             
   109 x[10,1]                     5                             
   110 x[10,2]                     0                             
   111 x[10,3]                     7                             
   112 x[10,4]                     0                             
   113 x[10,5]                     0                             
   114 x[10,6]                     0                             
   115 x[10,7]                     1                             
   116 x[10,8]                     0                             
   117 x[10,9]                     2                             
   118 x[10,10]                    5                             
   119 x[10,11]                    4                             
   120 x[10,12]                    3                             
   121 p[1,1]       *              1             0             1 
   122 p[1,2]       *              0             0             1 
   123 p[1,3]       *              0             0             1 
   124 p[1,4]       *              0             0             1 
   125 p[1,5]       *              0             0             1 
   126 p[1,6]       *              1             0             1 
   127 p[1,7]       *              0             0             1 
   128 p[1,8]       *              0             0             1 
   129 p[1,9]       *              1             0             1 
   130 p[1,10]      *              0             0             1 
   131 p[1,11]      *              0             0             1 
   132 p[1,12]      *              0             0             1 
   133 p[2,1]       *              1             0             1 
   134 p[2,2]       *              0             0             1 
   135 p[2,3]       *              0             0             1 
   136 p[2,4]       *              1             0             1 
   137 p[2,5]       *              1             0             1 
   138 p[2,6]       *              1             0             1 
   139 p[2,7]       *              0             0             1 
   140 p[2,8]       *              0             0             1 
   141 p[2,9]       *              1             0             1 
   142 p[2,10]      *              1             0             1 
   143 p[2,11]      *              0             0             1 
   144 p[2,12]      *              0             0             1 
   145 p[3,1]       *              0             0             1 
   146 p[3,2]       *              0             0             1 
   147 p[3,3]       *              1             0             1 
   148 p[3,4]       *              1             0             1 
   149 p[3,5]       *              1             0             1 
   150 p[3,6]       *              0             0             1 
   151 p[3,7]       *              0             0             1 
   152 p[3,8]       *              0             0             1 
   153 p[3,9]       *              1             0             1 
   154 p[3,10]      *              1             0             1 
   155 p[3,11]      *              0             0             1 
   156 p[3,12]      *              0             0             1 
   157 p[4,1]       *              0             0             1 
   158 p[4,2]       *              1             0             1 
   159 p[4,3]       *              0             0             1 
   160 p[4,4]       *              0             0             1 
   161 p[4,5]       *              1             0             1 
   162 p[4,6]       *              0             0             1 
   163 p[4,7]       *              0             0             1 
   164 p[4,8]       *              0             0             1 
   165 p[4,9]       *              1             0             1 
   166 p[4,10]      *              0             0             1 
   167 p[4,11]      *              1             0             1 
   168 p[4,12]      *              1             0             1 
   169 p[5,1]       *              0             0             1 
   170 p[5,2]       *              1             0             1 
   171 p[5,3]       *              1             0             1 
   172 p[5,4]       *              0             0             1 
   173 p[5,5]       *              1             0             1 
   174 p[5,6]       *              0             0             1 
   175 p[5,7]       *              1             0             1 
   176 p[5,8]       *              0             0             1 
   177 p[5,9]       *              1             0             1 
   178 p[5,10]      *              1             0             1 
   179 p[5,11]      *              0             0             1 
   180 p[5,12]      *              1             0             1 
   181 p[6,1]       *              1             0             1 
   182 p[6,2]       *              0             0             1 
   183 p[6,3]       *              1             0             1 
   184 p[6,4]       *              1             0             1 
   185 p[6,5]       *              1             0             1 
   186 p[6,6]       *              0             0             1 
   187 p[6,7]       *              0             0             1 
   188 p[6,8]       *              1             0             1 
   189 p[6,9]       *              0             0             1 
   190 p[6,10]      *              0             0             1 
   191 p[6,11]      *              1             0             1 
   192 p[6,12]      *              1             0             1 
   193 p[7,1]       *              1             0             1 
   194 p[7,2]       *              0             0             1 
   195 p[7,3]       *              1             0             1 
   196 p[7,4]       *              0             0             1 
   197 p[7,5]       *              1             0             1 
   198 p[7,6]       *              0             0             1 
   199 p[7,7]       *              0             0             1 
   200 p[7,8]       *              1             0             1 
   201 p[7,9]       *              0             0             1 
   202 p[7,10]      *              1             0             1 
   203 p[7,11]      *              1             0             1 
   204 p[7,12]      *              1             0             1 
   205 p[8,1]       *              0             0             1 
   206 p[8,2]       *              1             0             1 
   207 p[8,3]       *              0             0             1 
   208 p[8,4]       *              1             0             1 
   209 p[8,5]       *              1             0             1 
   210 p[8,6]       *              0             0             1 
   211 p[8,7]       *              0             0             1 
   212 p[8,8]       *              1             0             1 
   213 p[8,9]       *              1             0             1 
   214 p[8,10]      *              0             0             1 
   215 p[8,11]      *              1             0             1 
   216 p[8,12]      *              1             0             1 
   217 p[9,1]       *              0             0             1 
   218 p[9,2]       *              0             0             1 
   219 p[9,3]       *              1             0             1 
   220 p[9,4]       *              1             0             1 
   221 p[9,5]       *              1             0             1 
   222 p[9,6]       *              0             0             1 
   223 p[9,7]       *              0             0             1 
   224 p[9,8]       *              1             0             1 
   225 p[9,9]       *              1             0             1 
   226 p[9,10]      *              1             0             1 
   227 p[9,11]      *              0             0             1 
   228 p[9,12]      *              1             0             1 
   229 p[10,1]      *              1             0             1 
   230 p[10,2]      *              0             0             1 
   231 p[10,3]      *              1             0             1 
   232 p[10,4]      *              0             0             1 
   233 p[10,5]      *              0             0             1 
   234 p[10,6]      *              0             0             1 
   235 p[10,7]      *              1             0             1 
   236 p[10,8]      *              0             0             1 
   237 p[10,9]      *              1             0             1 
   238 p[10,10]     *              1             0             1 
   239 p[10,11]     *              1             0             1 
   240 p[10,12]     *              1             0             1 
   241 s[1,1]                      2                             
   242 s[1,2]                      5                             
   243 s[1,3]                      2                             
   244 s[1,4]                      5                             
   245 s[1,5]                      0                             
   246 s[1,6]                     19                             
   247 s[1,7]                      6                             
   248 s[1,8]                      4                             
   249 s[1,9]                      0                             
   250 s[1,10]                     0                             
   251 s[1,11]                     2                             
   252 s[1,12]                     5                             
   253 s[2,1]                     15                             
   254 s[2,2]                      4                             
   255 s[2,3]                      0                             
   256 s[2,4]                      0                             
   257 s[2,5]                      0                             
   258 s[2,6]                     19                             
   259 s[2,7]                      4                             
   260 s[2,8]                      3                             
   261 s[2,9]                      0                             
   262 s[2,10]                     0                             
   263 s[2,11]                     0                             
   264 s[2,12]                     4                             
   265 s[3,1]                     13                             
   266 s[3,2]                      1                             
   267 s[3,3]                      7                             
   268 s[3,4]                      9                             
   269 s[3,5]                      0                             
   270 s[3,6]                     17                             
   271 s[3,7]                      2                             
   272 s[3,8]                      1                             
   273 s[3,9]                      0                             
   274 s[3,10]                     3                             
   275 s[3,11]                     0                             
   276 s[3,12]                     1                             
   277 s[4,1]                      8                             
   278 s[4,2]                      2                             
   279 s[4,3]                      3                             
   280 s[4,4]                      1                             
   281 s[4,5]                      0                             
   282 s[4,6]                     14                             
   283 s[4,7]                      0                             
   284 s[4,8]                      0                             
   285 s[4,9]                      0                             
   286 s[4,10]                     0                             
   287 s[4,11]                     2                             
   288 s[4,12]                     0                             
   289 s[5,1]                      0                             
   290 s[5,2]                      0                             
   291 s[5,3]                      0                             
   292 s[5,4]                      0                             
   293 s[5,5]                      0                             
   294 s[5,6]                     11                             
   295 s[5,7]                      1                             
   296 s[5,8]                      0                             
   297 s[5,9]                      1                             
   298 s[5,10]                     0                             
   299 s[5,11]                     0                             
   300 s[5,12]                     0                             
   301 s[6,1]                      4                             
   302 s[6,2]                      0                             
   303 s[6,3]                      0                             
   304 s[6,4]                      1                             
   305 s[6,5]                      0                             
   306 s[6,6]                     10                             
   307 s[6,7]                      0                             
   308 s[6,8]                      0                             
   309 s[6,9]                      0                             
   310 s[6,10]                     0                             
   311 s[6,11]                     0                             
   312 s[6,12]                     0                             
   313 s[7,1]                      3                             
   314 s[7,2]                      0                             
   315 s[7,3]                      3                             
   316 s[7,4]                      0                             
   317 s[7,5]                      0                             
   318 s[7,6]                      7                             
   319 s[7,7]                      0                             
   320 s[7,8]                      0                             
   321 s[7,9]                      0                             
   322 s[7,10]                     1                             
   323 s[7,11]                     0                             
   324 s[7,12]                     0                             
   325 s[8,1]                      2                             
   326 s[8,2]                      3                             
   327 s[8,3]                      0                             
   328 s[8,4]                      0                             
   329 s[8,5]                      0                             
   330 s[8,6]                      5                             
   331 s[8,7]                      0                             
   332 s[8,8]                      0                             
   333 s[8,9]                      0                             
   334 s[8,10]                     0                             
   335 s[8,11]                     1                             
   336 s[8,12]                     0                             
   337 s[9,1]                      2                             
   338 s[9,2]                      1                             
   339 s[9,3]                      0                             
   340 s[9,4]                      2                             
   341 s[9,5]                      0                             
   342 s[9,6]                      2                             
   343 s[9,7]                      0                             
   344 s[9,8]                      1                             
   345 s[9,9]                      0                             
   346 s[9,10]                     0                             
   347 s[9,11]                     0                             
   348 s[9,12]                     0                             
   349 s[10,1]                     0                             
   350 s[10,2]                     0                             
   351 s[10,3]                     0                             
   352 s[10,4]                     0                             
   353 s[10,5]                     0                             
   354 s[10,6]                     0                             
   355 s[10,7]                     0                             
   356 s[10,8]                     0                             
   357 s[10,9]                     0                             
   358 s[10,10]                    0                             
   359 s[10,11]                    0                             
   360 s[10,12]                    0                             
   361 s[0,1]                      6                             
   362 s[0,2]                      8                             
   363 s[0,3]                      6                             
   364 s[0,4]                      6                             
   365 s[0,5]                      4                             
   366 s[0,6]                      5                             
   367 s[0,7]                      8                             
   368 s[0,8]                      6                             
   369 s[0,9]                      5                             
   370 s[0,10]                     5                             
   371 s[0,11]                     5                             
   372 s[0,12]                     7                             

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
